"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"REF**";"Heatsink_Fischer_FK24413D2PAK_26x13mm";1;"Heatsink_Fischer_FK24413D2PAK_26x13mm";;;
2;"Q1";"TO-263-2";1;"STGB19NC60KDT4";;;
3;"D2";"D_SMB";1;"US1M";;;
4;"C2,C1";"CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder";2;"10uF";;;
5;"R2";"R_2512";1;"3";;;
6;"P2";"RM3.5_1x2";1;"CONN_01X02";;;
7;"U6,U4,U3,U2";"non_plated_3mm";4;"non_plated";;;
8;"R75,R30,R5,R4,R3";"R_0805";5;"1k";;;
9;"D1";"LED-0805-SIDE";1;"red";;;
10;"P3,P1";"RM5.08_1x2";2;"CONN_01X02";;;
11;"U1";"SSO-6_6.8x4.6mm_P1.27mm_Clearance7mm";1;"ACPL-P343";;;
12;"C3";"C_1808";1;"150n";;;
13;"C41,C58";"C_0603";2;"100n";;;
14;"C51,C68,C69,C97,C145";"C_0805";5;"10µ";;;
15;"C70";"C_0805";1;"1µ";;;
16;"D8";"LED-0805-SIDE";1;"green";;;
17;"D10,D11";"SMA_Standard";2;"ES1J R2";;;
18;"L2";"NPI31W";1;"1m 250mA";;;
19;"R1";"R_0805";1;"1.2k";;;
20;"R16,R91";"R_0603";2;"1k";;;
21;"R92";"R_0603";1;"15k";;;
22;"R143";"R_0603";1;"1.5k";;;
23;"R161";"R_0603";1;"3.9k";;;
24;"U5";"SOIC-7";1;"LNK304D";;;
