Reference; Quantity; Value; Footprint; Datasheet; Manufacturer; Manufacturer No; Source; Tolerance; Voltage
C141 C50 C42 C43 C44 C129 C18 C8 C101 C102 C136 C135 C134 C137 C133 C62 C139 C140 C142 C144 C90 C88 C65 ;23;"2,2µ";"stmbl:C_0603";"";"";"";"";"X5R";"35V"
C143 ;1;"22µ";"stmbl:C_Radial_D6,5_L11_P2,5";"";"";"";"";"";"50V"
C147 C156 C150 C151 C152 C153 C154 C155 C47 C48 C46 C49 C52 C59 C81 C64 ;16;"1n";"stmbl:C_0603";"";"";"";"";"X5R";"50V"
C157 ;1;"150n";"stmbl:C_Rect_L24,0mm_W10,1mm_P22,50mm_MKT";"PME271M615KR06";"KEMET";"PME271M615KR06";"";"X7R";"630V "
C19 C30 C127 C138 C40 C78 C79 C82 C83 C2 C7 C10 C9 C128 C58 C41 C15 C60 C63 C146 C148 C149 C106 C105 C96 C108 C107 C103 C104 C99 C121 C122 C120 C53 C54 C55 C56 C17 C112 C72 C74 C75 C13 C36 C113 C115 C114 C125 C71 C73 C76 C12 C37 C116 C118 C117 C126 C91 C94 C95 C100 C130 C98 C89 C87 C86 C85 C84 C80 C77 C29 C16 C119 C1 C61 C66 C67 ;77;"100n";"stmbl:C_0603";"";"";"";"";"X5R";"50V"
C21 ;1;"270µ";"stmbl:C_Radial_D26_L45_P10";"";"United Chemi-Con";"ESMR401VSN271MQ30S";"";"";"400V"
C3 C28 C34 C38 C93 C92 C22 ;7;"150n";"stmbl:C_1808";"";"KEMET";"C1808W154KCRACTU";"";"X7R";"500V"
C5 C6 C11 C20 C23 C39 C33 C45 C57 C25 C27 C24 C26 C31 C32 ;15;"18p";"stmbl:C_0603";"";"";"";"";"X5R";"50V"
C51 C35 C68 C69 C4 C97 C70 C145 C14 C110 C109 C111 C123 C124 C132 C131 ;16;"10µ";"stmbl:C_0805";"";"";"";"";"X5R";"25V"
D1 D16 ;2;"red";"stmbl:LED-0805-SIDE";"";"Lite-On";"LTST-S220KRKT";"";"";""
D10 D11 D2 D3 D5 D7 ;6;"ES1J R2";"stmbl:SMA_Standard";"";"Micro Commercial Co";"ES1J-LTP";"";"";""
D17 ;1;"yellow";"stmbl:LED-0805-SIDE";"";"Lite-On";"LTST-S220KSKT";"";"";""
D21 ;1;"BZT52Bxx";"Diode_SMD:D_SOD-123";"https://diotec,com/tl_files/diotec/files/pdf/datasheets/bzt52b2v4,pdf"
D22 ;1;"SMAJ24A TVS 24V";"stmbl:SMA_Standard";"";"STMicroelectronics";"SMAJ24A-TR";"";"";""
D6 D12 D9 D13 ;4;"SS34A";"stmbl:SMA_Standard";"";"Multicomp";"SS34A";"";"";""
D8 D24 D4 D14 D15 D20 D19 D18 ;8;"green";"stmbl:LED-0805-SIDE";"";"Lite-On";"LTST-S220KGKT";"";"";""
J3 J2 J1 ;3;"RJ45_LED";"stmbl:RJ45_LED";"";"METZ CONNECT";"AJT34L8813-011";"https://de,aliexpress,com/item/Free-shipping-50pcs-lot-RJ45-connector-RJ45-socket-with-indicators-Ethernet/539701403,html";"";""
JP1 JP4 JP9 ;3;"Jumper_NO_Small";"stmbl:SOLDER_JUMPER";""
JP6 JP2 JP5 JP3 ;4;"JUMPER3_NC";"stmbl:SOLDER_JUMPER_3_NC";""
L1 L7 L8 L9 L10 L11 L3 ;7;"220r 700mA";"stmbl:R_0603";"";"Murata";"BLM18AG221SN1";"https://de,aliexpress,com/item/500-PCS-LOT-patch-magnetic-bead-FB-BLM18AG221SN1-0603-220-r-0-5-A-magnetic-beads/32675343247,html";"";""
L2 ;1;"1m 250mA";"stmbl:NPI31W";"";"Coilcraft";"DT3316P-105";"";"";""
L4 L6 ;2;"10µH 1A";"stmbl:SMD_INDUCTOR_32x25";"";"Murata";"LQH32PN100MNCL";"";"";""
L5 L12 ;2;"4,7µH 1,5A";"stmbl:SMD_INDUCTOR_32x25";"";"Murata";"LQH32PN4R7NNC";"";"";""
LOGO1 ;1;"OPEN_HARDWARE_1";"stmbl:Symbol_OSHW-Logo_SilkScreen";""
P10 ;1;"CONN_02X06";"stmbl:Socket_Strip_Angled_2x06";""
P11 P1 ;2;"USB_OTG";"stmbl:USB_Micro-B";"";"Molex";"105017-0001";"https://de,aliexpress,com/item/Wholesale-100Pcs-lot-5-Pins-Micro-USB-SMD-Female-USB-PCB-Connector-Socket-USB-Jack-Plug/1840320498,html";"";""
P12 P7 ;2;"CONN_01X04";"stmbl:Pin_Header_Straight_1x04";""
P13 ;1;"CONN_01X04";"stmbl:Socket_Strip_Straight_1x04";""
P14 ;1;"CONN_01X04";"stmbl:Pin_Header_Angled_1x04";"";"Molex";"901210764";" ";"";" "
P2 P3 P15 ;3;"CONN_01X02";"stmbl:RM3,5_1x2";"";"Phoenix";"1844210";"";"";""
P4 ;1;"CONN_01X02";"stmbl:Pin_Header_Angled_1x02";""
P5 P9 ;2;"CONN_01X06";"stmbl:RM3,5_1x6";"";"Phoenix";"1844252";"";"";""
P6 ;1;"CONN_01X02";"stmbl:RM5,08_1x2";"";"Phoenix";"1757242";"";"";""
P8 ;1;"CONN_01X03";"stmbl:RM5,08_1x3";"";"Phoenix";"1757255";"";"";""
Q5 Q1 Q2 Q3 Q4 ;5;"IRLML6344";"stmbl:SOT-23";"";"Infineon";"IRLML6344TRPBF";"";"";""
Q6 ;1;"AO3400A";"SOT-23";""
R129 ;1;"100k";"stmbl:R_0603";"";"";"";"";"1%";""
R141 R21 R97 R60 R133 ;5;"51k";"stmbl:R_0603";"";"";"";"";"1%";""
R142 R7 R35 R132 R158 R155 R156 R157 R62 R64 R65 R67 R68 R70 R71 R73 R42 R44 R36 R39 R137 R135 R41 R43 R37 R38 R140 R138 R106 R98 R116 ;31;"10k";"stmbl:R_0603";"";"";"";"";"1%";""
R150 ;1;"1,5k";"stmbl:R_0603";"";"";"";"";"1%";""
R162 R165 R2 R118 R91 R75 R30 R15 R16 R168 R145 R63 R66 R69 R72 R101 R102 R103 R104 R123 R125 R128 R136 R124 R126 R127 R139 R12 R13 R14 R45 R119 R108 R105 R99 R117 R121 R122 R61 R153 ;40;"1k";"stmbl:R_0603";"";"";"";"";"1%";""
R163 R167 R151 R152 R154 R159 R160 R86 R89 R147 R87 R88 R148 R9 R10 R11 R40 ;17;"22";"stmbl:R_0603";"";"";"";"";"1%";""
R164 R166 R143 R161 R29 R34 R53 R79 R115 R59 R146 R144 R149 R20 R22 R74 ;16;"3,9k";"stmbl:R_0603";"";"";"";"";"1%";""
